Plot,Year,Forest_side,Population,Surveyor,Latitude,Longitude,Young_hemiptera,Young_nohemiptera,Health_hemiptera,Health_nohemiptera,Infec_hemiptera,Infec_nohemiptera,Total_trilliums,Total_adult_trilliums,Total_infec_trilliums,Freq_hemiptera_total,Freq_infection_of_total,Young_to_repro_ratio,Freq_infection_of_adults,Freq_hemiptera_adults
14,2023,West,4,JB,44.036237,-79.536465,4,5,20,5,2,0,36,27,2,0.7222222222,0.05555555556,0.3333333333,0.07407407407,0.8148148148
15,2023,West,1,JY,44.033199,-79.535327,10,11,32,12,0,0,65,44,0,0.6461538462,0,0.4772727273,0,0.7272727273
16,2023,West,1,JY,44.033199,-79.535327,13,12,21,10,0,0,56,31,0,0.6071428571,0,0.8064516129,0,0.6774193548
17,2023,West,1,JY,44.033199,-79.535327,10,15,41,1,2,0,69,44,2,0.768115942,0.02898550725,0.5681818182,0.04545454545,0.9772727273
18,2023,West,1,JY,44.033199,-79.535327,38,9,23,0,0,0,70,23,0,0.8714285714,0,2.043478261,0,1
19,2023,West,2,JY,44.036065,-79.537481,4,11,8,3,0,0,26,11,0,0.4615384615,0,1.363636364,0,0.7272727273
20,2023,West,2,JY,44.036065,-79.537481,10,1,24,0,3,0,38,27,3,0.9736842105,0.07894736842,0.4074074074,0.1111111111,1
21,2023,West,2,JY,44.036065,-79.537481,3,8,13,1,0,0,25,14,0,0.64,0,0.7857142857,0,0.9285714286
22,2023,West,2,JY,44.036065,-79.537481,7,5,13,2,0,0,27,15,0,0.7407407407,0,0.8,0,0.8666666667
23,2023,West,2,JY,44.036065,-79.537481,17,18,15,0,4,0,54,19,4,0.6666666667,0.07407407407,1.842105263,0.2105263158,1
24,2023,West,2,JY,44.036065,-79.537481,5,1,13,1,1,0,21,15,1,0.9047619048,0.04761904762,0.4,0.06666666667,0.9333333333
25,2023,West,2,JY,44.036065,-79.537481,13,13,31,9,0,1,67,41,1,0.6567164179,0.01492537313,0.6341463415,0.0243902439,0.756097561
26,2023,West,2,JY,44.036065,-79.537481,2,3,11,0,3,0,19,14,3,0.8421052632,0.1578947368,0.3571428571,0.2142857143,1
27,2023,West,2,JY,44.036065,-79.537481,4,7,20,2,3,0,36,25,3,0.75,0.08333333333,0.44,0.12,0.92
28,2023,West,2,JY,44.036065,-79.537481,10,5,15,0,2,0,32,17,2,0.84375,0.0625,0.8823529412,0.1176470588,1
29,2023,West,3,JY,44.036832,-79.537255,11,10,19,0,2,0,42,21,2,0.7619047619,0.04761904762,1,0.09523809524,1
30,2023,West,3,JY,44.036832,-79.537255,25,11,24,0,0,0,60,24,0,0.8166666667,0,1.5,0,1
31,2023,West,8,JY,44.036245,-79.538279,18,5,25,2,3,0,53,30,3,0.8679245283,0.05660377358,0.7666666667,0.1,0.9333333333
32,2023,West,9,JY,44.033468,-79.536061,22,97,19,28,1,0,167,48,1,0.251497006,0.005988023952,2.479166667,0.02083333333,0.4166666667
33,2023,West,1,JY,44.033199,-79.535327,23,4,19,5,0,0,51,24,0,0.8235294118,0,1.125,0,0.7916666667
34,2023,West,1,JY,44.033199,-79.535327,24,5,33,0,1,0,63,34,1,0.9206349206,0.01587301587,0.8529411765,0.02941176471,1
35,2023,West,1,JY,44.033199,-79.535327,9,2,15,0,0,0,26,15,0,0.9230769231,0,0.7333333333,0,1
36,2023,West,1,JY,44.033199,-79.535327,16,5,12,0,2,0,35,14,2,0.8571428571,0.05714285714,1.5,0.1428571429,1
37,2023,West,1,JY,44.033199,-79.535327,11,1,10,0,1,0,23,11,1,0.9565217391,0.04347826087,1.090909091,0.09090909091,1
38,2023,West,1,JY,44.033199,-79.535327,11,8,20,4,0,0,43,24,0,0.7209302326,0,0.7916666667,0,0.8333333333
39,2023,West,9,JY,44.033468,-79.536061,29,24,32,8,1,0,94,41,1,0.6595744681,0.01063829787,1.292682927,0.0243902439,0.8048780488
40,2023,East,east,JB,44.031715,-79.522546,4,3,27,0,0,0,34,27,0,0.9117647059,0,0.2592592593,0,1
41,2023,East,east,JB,44.031806,-79.522662,14,14,53,12,0,0,93,65,0,0.7204301075,0,0.4307692308,0,0.8153846154
42,2023,East,east,JB,44.031821,-79.522759,24,11,38,0,0,0,73,38,0,0.8493150685,0,0.9210526316,0,1
43,2023,East,east,JB,44.03183,-79.522931,49,25,7,0,1,0,82,8,1,0.6951219512,0.01219512195,9.25,0.125,1
44,2023,East,east,JB,44.032049,-79.522989,17,6,11,2,1,0,37,14,1,0.7837837838,0.02702702703,1.642857143,0.07142857143,0.8571428571
45,2023,East,east,JB,44.032004,-79.523091,50,30,20,0,0,0,100,20,0,0.7,0,4,0,1
46,2023,East,east,JB,44.031942,-79.522891,60,40,54,4,0,0,158,58,0,0.7215189873,0,1.724137931,0,0.9310344828
47,2023,East,east,JB,44.031983,-79.522813,19,11,17,0,3,0,50,20,3,0.78,0.06,1.5,0.15,1
48,2023,East,east,JB,44.032085,-79.522577,16,3,32,3,0,0,54,35,0,0.8888888889,0,0.5428571429,0,0.9142857143
49,2023,East,east,JB,44.032345,-79.522686,6,2,17,1,1,0,27,19,1,0.8888888889,0.03703703704,0.4210526316,0.05263157895,0.9473684211
50,2023,East,east,JB,44.03237,-79.522499,20,16,28,5,0,0,69,33,0,0.6956521739,0,1.090909091,0,0.8484848485
51,2023,East,east,JB,44.032422,-79.521415,3,2,12,1,1,0,19,14,1,0.8421052632,0.05263157895,0.3571428571,0.07142857143,0.9285714286
52,2023,East,east,JB,44.032414,-79.521488,1,1,11,2,2,0,17,15,2,0.8235294118,0.1176470588,0.1333333333,0.1333333333,0.8666666667
53,2023,East,east,JB,44.032621,-79.521381,1,1,6,2,1,0,11,9,1,0.7272727273,0.09090909091,0.2222222222,0.1111111111,0.7777777778
54,2023,East,east,JB,44.032576,-79.521616,8,3,4,0,1,0,16,5,1,0.8125,0.0625,2.2,0.2,1
55,2023,East,east,JB,44.032798,-79.521853,7,0,6,0,1,0,14,7,1,1,0.07142857143,1,0.1428571429,1
56,2023,East,east,JB,44.032662,-79.521779,9,3,21,0,0,0,33,21,0,0.9090909091,0,0.5714285714,0,1
57,2023,East,east,JB,44.03273,-79.521937,22,12,25,3,0,0,62,28,0,0.7580645161,0,1.214285714,0,0.8928571429
58,2023,East,east,JB,44.032651,-79.522238,14,4,24,3,2,0,47,29,2,0.8510638298,0.04255319149,0.6206896552,0.06896551724,0.8965517241
59,2023,East,east,JB,44.0326,-79.522829,14,8,59,5,0,0,86,64,0,0.8488372093,0,0.34375,0,0.921875
60,2023,East,east,JB,44.032559,-79.522647,22,27,46,11,0,0,106,57,0,0.641509434,0,0.8596491228,0,0.8070175439
61,2023,East,east,JB,44.032483,-79.522756,20,25,43,22,0,0,110,65,0,0.5727272727,0,0.6923076923,0,0.6615384615
62,2023,East,east,JB,44.032331,-79.523075,14,25,25,11,0,0,75,36,0,0.52,0,1.083333333,0,0.6944444444
63,2023,East,east,JB,44.032319,-79.523251,34,27,42,4,0,0,107,46,0,0.7102803738,0,1.326086957,0,0.9130434783
64,2023,East,east,JB,44.032346,-79.522925,28,48,52,13,0,0,141,65,0,0.5673758865,0,1.169230769,0,0.8
65,2023,East,east,JB,44.032534,-79.523007,41,51,70,4,0,0,166,74,0,0.6686746988,0,1.243243243,0,0.9459459459
66,2018,West,Edge,AC,,,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,0,NA
67,2018,West,Edge,AC,,,NA,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,0,NA
68,2018,West,Edge,AC,,,NA,NA,NA,NA,NA,NA,NA,19,0,NA,NA,NA,0,NA
69,2018,West,Edge,AC,,,NA,NA,NA,NA,NA,NA,NA,23,2,NA,NA,NA,0.08695652174,NA
70,2018,West,Edge,AC,,,NA,NA,NA,NA,NA,NA,NA,16,0,NA,NA,NA,0,NA
71,2018,West,Edge,AC,,,NA,NA,NA,NA,NA,NA,NA,24,0,NA,NA,NA,0,NA
72,2018,West,Edge,AC,,,NA,NA,NA,NA,NA,NA,NA,15,1,NA,NA,NA,0.06666666667,NA
73,2018,West,Edge,AC,,,NA,NA,NA,NA,NA,NA,NA,23,0,NA,NA,NA,0,NA
74,2018,West,Edge,AC,,,NA,NA,NA,NA,NA,NA,NA,26,0,NA,NA,NA,0,NA
75,2018,West,Edge,AC,,,NA,NA,NA,NA,NA,NA,NA,16,0,NA,NA,NA,0,NA
76,2018,West,North_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,15,1,NA,NA,NA,0.06666666667,NA
77,2018,West,North_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,19,0,NA,NA,NA,0,NA
78,2018,West,North_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,20,0,NA,NA,NA,0,NA
79,2018,West,North_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,29,0,NA,NA,NA,0,NA
80,2018,West,North_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,21,0,NA,NA,NA,0,NA
81,2018,West,North_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,23,0,NA,NA,NA,0,NA
82,2018,West,North_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,23,1,NA,NA,NA,0.04347826087,NA
83,2018,West,North_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,17,1,NA,NA,NA,0.05882352941,NA
84,2018,West,North_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,16,2,NA,NA,NA,0.125,NA
85,2018,West,North_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,26,0,NA,NA,NA,0,NA
86,2018,West,Tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,0.2,NA
87,2018,West,Tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,NA,0,NA
88,2018,West,Tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,8,0,NA,NA,NA,0,NA
89,2018,West,Tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,13,1,NA,NA,NA,0.07692307692,NA
90,2018,West,Tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,13,0,NA,NA,NA,0,NA
91,2018,West,Tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,17,2,NA,NA,NA,0.1176470588,NA
92,2018,West,Tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,15,0,NA,NA,NA,0,NA
93,2018,West,Tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,21,0,NA,NA,NA,0,NA
94,2018,West,Tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,19,3,NA,NA,NA,0.1578947368,NA
95,2018,West,Tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,27,0,NA,NA,NA,0,NA
96,2018,West,West_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,23,4,NA,NA,NA,0.1739130435,NA
97,2018,West,West_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,24,1,NA,NA,NA,0.04166666667,NA
98,2018,West,West_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,21,2,NA,NA,NA,0.09523809524,NA
99,2018,West,West_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,23,3,NA,NA,NA,0.1304347826,NA
100,2018,West,West_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,22,0,NA,NA,NA,0,NA
101,2018,West,West_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,17,0,NA,NA,NA,0,NA
102,2018,West,West_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,17,1,NA,NA,NA,0.05882352941,NA
103,2018,West,West_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,15,0,NA,NA,NA,0,NA
104,2018,West,West_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,9,2,NA,NA,NA,0.2222222222,NA
105,2018,West,West_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,16,1,NA,NA,NA,0.0625,NA
106,2018,West,Ant_tag,AC,,,NA,NA,NA,NA,NA,NA,NA,14,2,NA,NA,NA,0.1428571429,NA
107,2018,West,Ant_tag,AC,,,NA,NA,NA,NA,NA,NA,NA,7,0,NA,NA,NA,0,NA
108,2018,West,Ant_tag,AC,,,NA,NA,NA,NA,NA,NA,NA,8,0,NA,NA,NA,0,NA
109,2018,West,Ant_tag,AC,,,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,0.1428571429,NA
110,2018,West,Ant_tag,AC,,,NA,NA,NA,NA,NA,NA,NA,13,0,NA,NA,NA,0,NA
111,2018,West,Ant_tag,AC,,,NA,NA,NA,NA,NA,NA,NA,12,1,NA,NA,NA,0.08333333333,NA
112,2018,West,Ant_tag,AC,,,NA,NA,NA,NA,NA,NA,NA,13,0,NA,NA,NA,0,NA
113,2018,West,Ant_tag,AC,,,NA,NA,NA,NA,NA,NA,NA,19,1,NA,NA,NA,0.05263157895,NA
114,2018,West,Ant_tag,AC,,,NA,NA,NA,NA,NA,NA,NA,13,2,NA,NA,NA,0.1538461538,NA
115,2018,West,Ant_tag,AC,,,NA,NA,NA,NA,NA,NA,NA,13,1,NA,NA,NA,0.07692307692,NA
116,2018,West,South_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,11,1,NA,NA,NA,0.09090909091,NA
117,2018,West,South_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,33,4,NA,NA,NA,0.1212121212,NA
118,2018,West,South_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,18,0,NA,NA,NA,0,NA
119,2018,West,South_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,19,0,NA,NA,NA,0,NA
120,2018,West,South_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,20,0,NA,NA,NA,0,NA
121,2018,West,South_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,23,0,NA,NA,NA,0,NA
122,2018,West,South_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,20,1,NA,NA,NA,0.05,NA
123,2018,West,South_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,27,0,NA,NA,NA,0,NA
124,2018,West,South_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,14,1,NA,NA,NA,0.07142857143,NA
125,2018,West,South_deer,AC,,,NA,NA,NA,NA,NA,NA,NA,18,0,NA,NA,NA,0,NA
126,2018,East,West_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,0,NA
127,2018,East,West_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,18,0,NA,NA,NA,0,NA
128,2018,East,West_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,17,0,NA,NA,NA,0,NA
129,2018,East,West_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,19,0,NA,NA,NA,0,NA
130,2018,East,West_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,18,0,NA,NA,NA,0,NA
131,2018,East,West_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,23,0,NA,NA,NA,0,NA
132,2018,East,West_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,16,0,NA,NA,NA,0,NA
133,2018,East,West_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,15,0,NA,NA,NA,0,NA
134,2018,East,West_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,20,0,NA,NA,NA,0,NA
135,2018,East,West_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,20,0,NA,NA,NA,0,NA
136,2018,East,East_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,20,0,NA,NA,NA,0,NA
137,2018,East,East_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,15,0,NA,NA,NA,0,NA
138,2018,East,East_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,20,0,NA,NA,NA,0,NA
139,2018,East,East_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,22,1,NA,NA,NA,0.04545454545,NA
140,2018,East,East_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,20,0,NA,NA,NA,0,NA
141,2018,East,East_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,14,0,NA,NA,NA,0,NA
142,2018,East,East_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,0,NA
143,2018,East,East_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,21,0,NA,NA,NA,0,NA
144,2018,East,East_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,0,NA
145,2018,East,East_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,28,0,NA,NA,NA,0,NA
146,2018,East,North_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,20,0,NA,NA,NA,0,NA
147,2018,East,North_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,0,NA
148,2018,East,North_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,23,0,NA,NA,NA,0,NA
149,2018,East,North_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,30,0,NA,NA,NA,0,NA
150,2018,East,North_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,22,0,NA,NA,NA,0,NA
151,2018,East,North_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,32,0,NA,NA,NA,0,NA
152,2018,East,North_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,17,0,NA,NA,NA,0,NA
153,2018,East,North_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,18,0,NA,NA,NA,0,NA
154,2018,East,North_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,22,0,NA,NA,NA,0,NA
155,2018,East,North_blue,AC,,,NA,NA,NA,NA,NA,NA,NA,15,0,NA,NA,NA,0,NA
156,2018,East,SW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,16,0,NA,NA,NA,0,NA
157,2018,East,SW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,15,0,NA,NA,NA,0,NA
158,2018,East,SW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,0,NA
159,2018,East,SW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,13,0,NA,NA,NA,0,NA
160,2018,East,SW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,11,0,NA,NA,NA,0,NA
161,2018,East,SW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,8,0,NA,NA,NA,0,NA
162,2018,East,SW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,11,0,NA,NA,NA,0,NA
163,2018,East,SW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,0,NA
164,2018,East,SW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,0,NA
165,2018,East,SW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,0,NA
166,2018,East,NW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,8,0,NA,NA,NA,0,NA
167,2018,East,NW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,8,0,NA,NA,NA,0,NA
168,2018,East,NW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,17,0,NA,NA,NA,0,NA
169,2018,East,NW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,20,0,NA,NA,NA,0,NA
170,2018,East,NW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,16,0,NA,NA,NA,0,NA
171,2018,East,NW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,15,0,NA,NA,NA,0,NA
172,2018,East,NW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,0,NA
173,2018,East,NW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,8,0,NA,NA,NA,0,NA
174,2018,East,NW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,9,0,NA,NA,NA,0,NA
175,2018,East,NW_dam,AC,,,NA,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,0,NA
176,2018,East,North_brown,AC,,,NA,NA,NA,NA,NA,NA,NA,18,0,NA,NA,NA,0,NA
177,2018,East,North_brown,AC,,,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,0,NA
178,2018,East,North_brown,AC,,,NA,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,0,NA
179,2018,East,North_brown,AC,,,NA,NA,NA,NA,NA,NA,NA,22,0,NA,NA,NA,0,NA
180,2018,East,North_brown,AC,,,NA,NA,NA,NA,NA,NA,NA,19,0,NA,NA,NA,0,NA
181,2018,East,North_brown,AC,,,NA,NA,NA,NA,NA,NA,NA,21,2,NA,NA,NA,0.09523809524,NA
182,2018,East,North_brown,AC,,,NA,NA,NA,NA,NA,NA,NA,28,2,NA,NA,NA,0.07142857143,NA
183,2018,East,North_brown,AC,,,NA,NA,NA,NA,NA,NA,NA,26,0,NA,NA,NA,0,NA
184,2018,East,North_brown,AC,,,NA,NA,NA,NA,NA,NA,NA,15,0,NA,NA,NA,0,NA
185,2018,East,North_brown,AC,,,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,0,NA
186,2018,West,North_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,10,1,NA,NA,NA,0.1,NA
187,2018,West,North_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,11,2,NA,NA,NA,0.1818181818,NA
188,2018,West,North_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,16,4,NA,NA,NA,0.25,NA
189,2018,West,North_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,12,1,NA,NA,NA,0.08333333333,NA
190,2018,West,North_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,8,5,NA,NA,NA,0.625,NA
191,2018,West,North_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,13,2,NA,NA,NA,0.1538461538,NA
192,2018,West,North_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,0,NA
193,2018,West,North_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,11,0,NA,NA,NA,0,NA
194,2018,West,North_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,5,0,NA,NA,NA,0,NA
195,2018,West,North_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,13,0,NA,NA,NA,0,NA
196,2018,West,East_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,0,NA
197,2018,West,East_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,17,0,NA,NA,NA,0,NA
198,2018,West,East_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,0,NA
199,2018,West,East_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,14,0,NA,NA,NA,0,NA
200,2018,West,East_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,16,0,NA,NA,NA,0,NA
201,2018,West,East_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,25,0,NA,NA,NA,0,NA
202,2018,West,East_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,0,NA
203,2018,West,East_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,20,0,NA,NA,NA,0,NA
204,2018,West,East_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,14,0,NA,NA,NA,0,NA
205,2018,West,East_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,0,NA
206,2018,West,NE_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,27,0,NA,NA,NA,0,NA
207,2018,West,NE_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,26,0,NA,NA,NA,0,NA
208,2018,West,NE_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,8,0,NA,NA,NA,0,NA
209,2018,West,NE_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,18,0,NA,NA,NA,0,NA
210,2018,West,NE_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,18,0,NA,NA,NA,0,NA
211,2018,West,NE_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,0,NA
212,2018,West,NE_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,14,0,NA,NA,NA,0,NA
213,2018,West,NE_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,11,0,NA,NA,NA,0,NA
214,2018,West,NE_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,18,0,NA,NA,NA,0,NA
215,2018,West,NE_tag_tree,AC,,,NA,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,0,NA
216,2018,West,West_ant_tag,AC,,,NA,NA,NA,NA,NA,NA,NA,27,2,NA,NA,NA,0.07407407407,NA
217,2018,West,West_ant_tag,AC,,,NA,NA,NA,NA,NA,NA,NA,14,1,NA,NA,NA,0.07142857143,NA
218,2018,West,West_ant_tag,AC,,,NA,NA,NA,NA,NA,NA,NA,16,1,NA,NA,NA,0.0625,NA
219,2018,West,West_ant_tag,AC,,,NA,NA,NA,NA,NA,NA,NA,10,1,NA,NA,NA,0.1,NA
220,2018,West,West_ant_tag,AC,,,NA,NA,NA,NA,NA,NA,NA,21,2,NA,NA,NA,0.09523809524,NA
221,2018,West,West_ant_tag,AC,,,NA,NA,NA,NA,NA,NA,NA,21,3,NA,NA,NA,0.1428571429,NA
222,2018,West,West_ant_tag,AC,,,NA,NA,NA,NA,NA,NA,NA,16,0,NA,NA,NA,0,NA
223,2018,West,West_ant_tag,AC,,,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA,0.3333333333,NA
